New Releases For 1/2/2013

Every week, PREVIEWSworld announces which comics, graphic novels, toys and other pop-culture merchandise will arrive at your local comic shop. The products will be on sale in comic shops on the indicated date. This list is tentative and subject to change. Please check with your retailer for availability.

Digital Comics: Digital new releases available from your local comic book shop are marked below. [DIG] = Digital version available. [DIG/P+] = Print-Plus digital/print combo pack available. Click here for a complete list of this week's Digital New Releases. For more information, go to www.digitalcomicsreader.com.

 
PREVIEWS PUBLICATIONS

NOV120004 	PREVIEWS #292 JAN 2013 CUSTOMER ORDER FORM 	PI
NOV120001 	PREVIEWS #292 JANUARY 2013 [DIG] 	$4.50

PREMIER PUBLISHERS

DARK HORSE COMICS

NOV120053 	BUFFY THE VAMPIRE SLAYER WILLOW WONDERLAND #3 LARA VA 	$2.99
NOV120052 	BUFFY THE VAMPIRE SLAYER WILLOW WONDERLAND #3 MACK CV 	$2.99
NOV120040 	COLDER #3 (MR) 	$3.99
NOV120039 	HELLBOY IN HELL #2 	$2.99
NOV120015 	STAR WARS PURGE TYRANTS FIST #2 	$3.50

DC COMICS

OCT120223 	ALL STAR WESTERN #15 	$3.99
OCT120292 	AMERICAN VAMPIRE #34 (MR) 	$2.99
OCT120237 	ARROW #2 	$3.99
OCT120244 	BATMAN BEYOND UNLIMITED #11 	$3.99
OCT120179 	BATMAN INCORPORATED #6 	$2.99
OCT120182 	BATMAN INCORPORATED #6 COMBO PACK 	$3.99
OCT120258 	BATMAN INCORPORATED TP 	$19.99
OCT120190 	BATMAN THE DARK KNIGHT #15 	$2.99
OCT120158 	FLASH #15 	$2.99
OCT120167 	FURY OF FIRESTORM THE NUCLEAR MEN #15 	$2.99
SEP120232 	GREEN LANTERN HC VOL 02 REVENGE OF THE BLACK HAND 	$24.99
OCT120257 	GREEN LANTERN TP VOL 01 SINESTRO (N52) 	$14.99
OCT120266 	HARD TIME TP VOL 02 SIXTEEN 	$14.99
OCT120220 	I VAMPIRE #15 	$2.99
OCT120242 	JOE KUBERT PRESENTS #3 	$4.99
OCT120214 	JUSTICE LEAGUE DARK #15 	$2.99
